AEM author,https://author-danone-prod-64-b62-s3.adobecqms.net,Prod Tech,Ready,Ready,Ready,N,EU,N,,N,N,y,
AEM author,https://author-danone-stage-64-b62-s3.adobecqms.net,Staging,Ready,Ready,Ready,N,EU,N,,N,N,Y,
AEM author,https://author-rc-eu-64.aem.digital4danone.com,RC,Ready,Ready,Ready,N,EU,N,,N,N,Y,
AEM master,https://rolex-master-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,EU,N,,N,N,N,Used as product webservice for SNVT tool (called with https://rolex-master-prod-64.content.digital4danone.com/r.carelineprod.html?lang=<locale>&pid=<product_id>&brand=<brand_name> )
AEM master,https://rolex-master-staging-64-eu.content.digital4danone.com,Staging,Ready,Ready,Ready,N,EU,N,,N,Y,N,Used as product webservice for SNVT tool (called with https://rolex-master-staging-64-eu.content.digital4danone.com/r.carelineprod.html?lang=<locale>&pid=<product_id>&brand=<brand_name> )
AFR Aptamil,http://rolex-aptamil-afr-rc-64-eu.aem.digital4danone.com,RC,Not Ready,Ready,Not Ready,N,EU,N,,,,,
AFR Aptamil,https://qrt.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://qru.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://qrv.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://qrw.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://qrx.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://qry.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://qrz.aptatnc.com,Public prod,Ready,Ready,Ready,N,EU,Y,Danone.com by default - may need to be updated later,,,,
AFR Aptamil,https://rolex-aptamil-afr-prod-64.content.digital4danone.com,Prod Tech,Not Ready,Ready,Not Ready,N,EU,N,,,,,
AFR Aptamil,https://rolex-aptamil-afr-staging-64-eu.content.digital4danone.com,Staging,Not Ready,Ready,Not Ready,N,EU,N,,,,,
ANZ Aptamil OAT,http://rolex-aptamiloatau-rc-64-eu.aem.digital4danone.com,RC,Ready,Ready,Ready,N,EU,N,,N,N,N,
ANZ Aptamil OAT,https://anzaptamiloat-staging.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,CN,Y,,N,N,N,static page (content TBD)
ANZ Aptamil OAT,https://anzaptamiloat-step4-staging.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,CN,,,,,,
ANZ Aptamil OAT,https://anzaptamiloat.content.digital4danone.com.cn,Public prod,Ready,Ready,Ready,N,CN,Y,,N,N,N,static page (content TBD)
ANZ Aptamil OAT,https://qr.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qra.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qra2.nutricia.com.au ,Public prod,Ready,Ready,Ready,N,EU,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html,N,N,N,
ANZ Aptamil OAT,https://qra2s.nutricia.com.au,Public prod,Ready,Ready,Ready,N,EU,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html,N,N,N,
ANZ Aptamil OAT,https://qra2t.nutricia.com.au,Public prod,Ready,Ready,Ready,N,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html,Y,Y,Y,
ANZ Aptamil OAT,https://qrb.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qrc.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qrs.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qrt.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qru.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,Y,
ANZ Aptamil OAT,https://qrv.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://qrw.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,EU,N,,N,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-prod-64.content.digital4danone.com.cn,Prod Tech,Ready,Ready,Ready,N,CN,N,,N,N,Y,
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-staging-64.content.digital4danone.com,Staging,Ready,Ready,Ready,N,EU,N,,N,N,N,
